City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,taoudenni,22.68,-3.98,79.86,16,72,9.1,ML,1604881221
201,zhifang,30.35,114.32,46.4,93,0,3.91,CN,1604881221
202,fukumitsu,36.55,136.87,48.99,76,75,5.82,JP,1604881222
203,mansa,29.98,75.38,60.94,29,0,2.64,IN,1604881222
204,hofn,64.25,-15.21,39.83,74,98,12.59,IS,1604881222
205,san quintin,30.48,-115.95,62.82,63,57,18.66,MX,1604881222
206,pandan,14.05,124.17,81.99,82,100,4.97,PH,1604881222
207,slave lake,55.28,-114.77,23.0,73,1,8.05,CA,1604881222
208,la asuncion,11.03,-63.86,86.0,70,51,6.93,VE,1604881222
209,imbituba,-28.24,-48.67,71.6,83,75,4.7,BR,1604881130
210,esmeraldas,-19.76,-44.31,78.8,57,40,8.05,BR,1604881223
211,talnakh,69.49,88.4,24.8,92,40,17.9,RU,1604881223
212,roebourne,-20.78,117.13,81.0,36,0,9.31,AU,1604881223
213,uruzgan,32.83,66.0,39.96,57,63,3.18,AF,1604881223
214,zhangye,38.93,100.45,38.07,51,0,4.21,CN,1604881223
215,sitrah,26.15,50.62,78.8,83,5,4.7,BH,1604881223
216,thanh hoa,19.8,105.77,67.62,68,0,9.04,VN,1604881223
217,pionerskiy,54.95,20.23,46.99,93,90,4.47,RU,1604881223
218,barahona,18.21,-71.1,76.14,87,100,3.06,DO,1604880929
219,kenai,60.55,-151.26,35.6,100,90,6.93,US,1604881223
220,lavrentiya,65.58,-171.0,27.64,94,73,5.7,RU,1604881224
221,isangel,-19.55,169.27,78.8,83,75,5.82,VU,1604881224
222,banda aceh,5.56,95.32,79.0,79,94,1.5,ID,1604881224
223,okuchi,32.07,130.62,55.0,76,20,8.05,JP,1604881224
224,gorontalo,0.54,123.06,82.53,67,34,5.26,ID,1604881206
225,hilton head island,32.22,-80.75,73.0,94,90,12.75,US,1604881168
226,lom sak,16.78,101.24,68.0,94,0,2.24,TH,1604881224
227,bambanglipuro,-7.95,110.28,81.14,77,84,6.33,ID,1604881224
228,irece,-11.3,-41.86,74.1,67,0,9.73,BR,1604881225
229,kiama,-34.68,150.87,70.0,58,86,7.27,AU,1604881225
230,portland,45.52,-122.68,46.0,65,1,6.93,US,1604881130
231,dillon,34.42,-79.37,70.0,82,40,4.7,US,1604881225
232,izumo,35.37,132.77,51.8,87,75,5.82,JP,1604881225
233,songea,-10.68,35.65,66.04,90,77,8.03,TZ,1604881225
234,cochrane,51.18,-114.47,17.6,67,90,17.22,CA,1604881225
235,flagstaff,35.2,-111.65,33.01,86,90,12.75,US,1604881225
236,atar,20.52,-13.05,84.92,15,68,5.82,MR,1604881225
237,sarankhola,22.31,89.79,64.2,86,0,4.29,BD,1604881225
238,pacific grove,36.62,-121.92,54.0,58,75,18.34,US,1604881103
239,pacifica,37.61,-122.49,52.0,61,75,12.75,US,1604881226
240,wamba,8.93,8.6,73.96,42,92,3.91,NG,1604881226
241,upernavik,72.79,-56.15,-4.97,77,0,10.31,GL,1604881226
242,udachnyy,66.42,112.4,1.4,84,90,8.95,RU,1604881226
243,hambantota,6.12,81.12,78.84,81,0,5.14,LK,1604881226
244,trinidad,-14.83,-64.9,84.2,70,26,9.17,BO,1604881226
245,sabang,5.89,95.32,80.91,75,100,2.08,ID,1604881226
246,codrington,-38.27,141.97,71.98,68,60,8.61,AU,1604881227
247,woodward,36.43,-99.39,68.0,63,1,16.11,US,1604881227
248,mayo,38.89,-76.51,59.0,100,1,2.44,US,1604881227
249,vanavara,60.34,102.28,31.5,97,96,7.45,RU,1604881227
250,meulaboh,4.14,96.13,76.59,86,98,2.86,ID,1604881227
251,comodoro rivadavia,-45.87,-67.5,69.8,43,20,6.93,AR,1604881227
252,griffith,41.53,-87.42,71.6,68,75,6.93,US,1604881227
253,naigarhi,24.78,81.78,61.23,34,0,5.17,IN,1604881228
254,caldwell,43.66,-116.69,33.01,81,90,12.75,US,1604881107
255,lejanias,3.53,-74.02,72.82,77,98,3.38,CO,1604881228
256,lubango,-14.92,13.49,65.39,45,28,1.97,AO,1604881228
257,new norfolk,-42.78,147.06,71.01,43,4,1.01,AU,1604881228
258,port hardy,50.7,-127.42,48.2,56,20,3.53,CA,1604881228
259,chippewa falls,44.94,-91.39,69.01,68,77,5.99,US,1604881087
260,richards bay,-28.78,32.04,74.08,86,84,14.34,ZA,1604881228
261,maniitsoq,65.42,-52.9,16.72,79,23,20.02,GL,1604881229
262,coahuayana,18.73,-103.68,80.6,65,5,5.82,MX,1604881229
263,opuwo,-18.06,13.84,65.14,49,4,3.89,NA,1604881229
264,san cristobal,7.77,-72.22,68.5,91,75,0.87,VE,1604881229
265,sept-iles,50.2,-66.38,30.99,74,90,3.36,CA,1604881229
266,kavieng,-2.57,150.8,84.07,67,87,2.21,PG,1604881229
267,male,4.17,73.51,80.6,88,75,4.7,MV,1604880957
268,beipiao,41.79,120.78,33.17,70,0,1.77,CN,1604881230
269,yarkovo,57.4,67.08,34.23,89,100,15.75,RU,1604881230
270,oskemen,49.96,82.61,48.2,57,90,20.13,KZ,1604881230
271,matay,28.42,30.78,63.32,74,70,5.5,EG,1604881230
272,byron bay,-28.65,153.62,68.0,64,90,14.99,AU,1604881203
273,jiuquan,39.74,98.52,32.72,62,0,5.44,CN,1604881230
274,lasa,46.62,10.7,37.4,54,5,6.93,IT,1604881230
275,kapuskasing,49.42,-82.43,50.0,81,81,6.93,CA,1604881230
276,mount gambier,-37.83,140.77,73.4,46,84,13.87,AU,1604881222
277,saravan,39.72,45.65,39.2,74,0,9.17,AM,1604881231
278,vanimo,-2.67,141.3,85.17,66,83,4.38,PG,1604881231
279,ossora,59.24,163.07,23.49,85,3,8.88,RU,1604881231
280,bonthe,7.53,-12.51,77.83,87,63,3.33,SL,1604881231
281,namibe,-15.2,12.15,69.31,74,10,7.25,AO,1604881231
282,wonthaggi,-38.6,145.59,78.01,58,0,1.99,AU,1604881231
283,sao felix do xingu,-6.64,-51.99,73.98,94,48,2.42,BR,1604881231
284,namatanai,-3.67,152.43,84.49,70,76,0.49,PG,1604881231
